variable,sector,outcome,selected,lasso_coef,enet_coef
net_additions,Digital and Technologies,cagr_bus,1,0.002175717674923758,0.002160289039619347
related_variety,Digital and Technologies,cagr_bus,1,0.0037891358620261223,0.004037799831591693
level_3+_qualifications,Digital and Technologies,cagr_emp,1,0.004662624074240668,0.004887665823633179
gcse_by_age_19,Digital and Technologies,cagr_emp,0,0.0,0.0005900147881758815
apprenticeship_starts,Digital and Technologies,cagr_emp,1,0.0014788034808715042,0.003429056917797736
apprenticeship_achievements,Digital and Technologies,cagr_emp,1,-0.005587151275004833,-0.007145283285601257
fe_and_skills_participation,Digital and Technologies,cagr_emp,1,0.0010950055857459865,0.0007853225469636308
new_enterprises,Digital and Technologies,cagr_emp,1,0.006881677342637499,0.009505970693710827
deaths_of_enterprises,Digital and Technologies,cagr_emp,1,0.020077640639044967,0.02399253612300735
active_enterprises,Digital and Technologies,cagr_emp,1,-0.03925040874564533,-0.046919631987426644
high_growth_enterprises,Digital and Technologies,cagr_emp,1,0.01767221826653676,0.019242216506077905
broadband_availability,Digital and Technologies,cagr_emp,1,-0.0023364920641311287,-0.002868161207194129
4g_area_coverage,Digital and Technologies,cagr_emp,1,-0.0020596206638810004,-0.002265457236217149
net_additions,Digital and Technologies,cagr_emp,1,0.006868210657662587,0.0068241670891069466
related_variety,Digital and Technologies,cagr_emp,1,0.005098002727587869,0.005457165274745253
level_3+_qualifications,Financial Services,lq_emp,0,0.0,0.0
gcse_by_age_19,Financial Services,lq_emp,0,0.0,0.0019419948301797204
apprenticeship_starts,Financial Services,lq_emp,0,-0.0,-0.0014700978492153557
apprenticeship_achievements,Financial Services,lq_emp,0,-0.0,-0.011280777390138276
fe_and_skills_participation,Financial Services,lq_emp,0,-0.0,-0.0
new_enterprises,Financial Services,lq_emp,0,0.0,0.023417157362504975
deaths_of_enterprises,Financial Services,lq_emp,1,0.0015734814116147569,0.020356959364907074
active_enterprises,Financial Services,lq_emp,0,0.0,0.005692499081778915
high_growth_enterprises,Financial Services,lq_emp,1,0.1174994340004947,0.07508103543271856
broadband_availability,Financial Services,lq_emp,0,0.0,0.0
4g_area_coverage,Financial Services,lq_emp,0,0.0,0.0
net_additions,Financial Services,lq_emp,0,0.0,0.0
related_variety,Financial Services,lq_emp,1,0.05989970226493492,0.05349264940578418
level_3+_qualifications,Financial Services,lq_bus,0,0.0,0.0
gcse_by_age_19,Financial Services,lq_bus,1,0.007256226405539553,0.01028957044753948
apprenticeship_starts,Financial Services,lq_bus,1,0.01674853560274133,0.03586515057717547
apprenticeship_achievements,Financial Services,lq_bus,1,-0.04156438191280509,-0.058355453178713115
fe_and_skills_participation,Financial Services,lq_bus,1,-0.05842444872656256,-0.060708421277670364
new_enterprises,Financial Services,lq_bus,1,-0.09461995884158506,-0.08567428428744907
deaths_of_enterprises,Financial Services,lq_bus,0,-0.0,-0.0
active_enterprises,Financial Services,lq_bus,0,-0.0,-0.0
high_growth_enterprises,Financial Services,lq_bus,1,0.2743602919185044,0.26459455840242446
broadband_availability,Financial Services,lq_bus,1,0.08615089449292615,0.08472206716742034
4g_area_coverage,Financial Services,lq_bus,1,0.024239409632652337,0.024988466513051845
net_additions,Financial Services,lq_bus,1,0.025563788287916105,0.02629728833871246
related_variety,Financial Services,lq_bus,1,-0.11494396762747836,-0.11461649642604699
level_3+_qualifications,Financial Services,growth_emp,0,-0.0,-0.0
gcse_by_age_19,Financial Services,growth_emp,0,-0.0,-0.0
apprenticeship_starts,Financial Services,growth_emp,0,-0.0,-0.0
apprenticeship_achievements,Financial Services,growth_emp,0,-0.0,-0.0
fe_and_skills_participation,Financial Services,growth_emp,0,0.0,0.0
new_enterprises,Financial Services,growth_emp,0,0.0,0.0
deaths_of_enterprises,Financial Services,growth_emp,0,0.0,0.0
active_enterprises,Financial Services,growth_emp,0,-0.0,-0.0
high_growth_enterprises,Financial Services,growth_emp,0,-0.0,-0.0
broadband_availability,Financial Services,growth_emp,0,-0.0,-0.0
