sector,dep_var,model_type,feature,importance
Advanced Manufacturing,lq_bus_binary,classification,apprenticeship_starts,0.10286104865286619
Advanced Manufacturing,lq_bus_binary,classification,apprenticeship_achievements,0.09886146264222367
Advanced Manufacturing,lq_bus_binary,classification,level_3+_qualifications,0.06181955249744081
Advanced Manufacturing,lq_bus_binary,classification,fe_and_skills_participation,0.015844983683912243
Advanced Manufacturing,lq_bus_binary,classification,smokers,0.015708998442981962
Advanced Manufacturing,lq_bus_binary,classification,reception_obesity,0.006069724409058444
Advanced Manufacturing,lq_bus_binary,classification,year_6_obesity,0.01823864743426583
Advanced Manufacturing,lq_bus_binary,classification,adult_obesity,0.027139627303630554
Advanced Manufacturing,lq_bus_binary,classification,cancer_diagnosis,0.014039921193312195
Advanced Manufacturing,lq_bus_binary,classification,under_75_mortality_rate,0.025613176536823865
Advanced Manufacturing,lq_bus_binary,classification,life_satisfaction,0.010313148764264314
Advanced Manufacturing,lq_bus_binary,classification,worthwhile,0.007441531704795647
Advanced Manufacturing,lq_bus_binary,classification,happiness,0.015441648350458559
Advanced Manufacturing,lq_bus_binary,classification,anxiety,0.007623396416405886
Advanced Manufacturing,lq_bus_binary,classification,net_additions,0.004736374887203168
Advanced Manufacturing,lq_bus_binary,classification,related_variety,0.09350619274590455
Advanced Manufacturing,lq_bus_binary,classification,size_large_share,0.0
Advanced Manufacturing,lq_bus_binary,classification,size_micro_share,0.19083912571912925
Advanced Manufacturing,lq_bus_binary,classification,public_transport_to_employer,0.041368502685379595
Advanced Manufacturing,lq_bus_binary,classification,drive_to_employer,0.038395489313264745
Advanced Manufacturing,lq_bus_binary,classification,cycle_to_employer,0.05168213189941934
Advanced Manufacturing,cagr_emp_binary,classification,new_enterprises,0.044837286632526036
Advanced Manufacturing,cagr_emp_binary,classification,deaths_of_enterprises,0.04333456169377872
Advanced Manufacturing,cagr_emp_binary,classification,active_enterprises,0.030261160398713235
Advanced Manufacturing,cagr_emp_binary,classification,high_growth_enterprises,0.03976764902208098
Advanced Manufacturing,cagr_emp_binary,classification,broadband_availability,0.05500808691965713
Advanced Manufacturing,cagr_emp_binary,classification,4g_area_coverage,0.020273244636135775
Advanced Manufacturing,cagr_emp_binary,classification,gcse_by_age_19,0.04373715987313032
Advanced Manufacturing,cagr_emp_binary,classification,early_years_comms,0.016014037858459052
Advanced Manufacturing,cagr_emp_binary,classification,early_years_literacy,0.0296356741024146
Advanced Manufacturing,cagr_emp_binary,classification,early_years_maths,0.02236522177548459
Advanced Manufacturing,cagr_emp_binary,classification,apprenticeship_starts,0.03898142426153895
Advanced Manufacturing,cagr_emp_binary,classification,apprenticeship_achievements,0.040268046299304874
Advanced Manufacturing,cagr_emp_binary,classification,level_3+_qualifications,0.033424513901692016
Advanced Manufacturing,cagr_emp_binary,classification,fe_and_skills_participation,0.02005631110119004
Advanced Manufacturing,cagr_emp_binary,classification,smokers,0.050892026492215754
Advanced Manufacturing,cagr_emp_binary,classification,reception_obesity,0.03216346918899779
Advanced Manufacturing,cagr_emp_binary,classification,year_6_obesity,0.054081381271309625
Advanced Manufacturing,cagr_emp_binary,classification,adult_obesity,0.01855051228248502
Advanced Manufacturing,cagr_emp_binary,classification,cancer_diagnosis,0.04568573720068497
Advanced Manufacturing,cagr_emp_binary,classification,under_75_mortality_rate,0.04005448303240204
Advanced Manufacturing,cagr_emp_binary,classification,life_satisfaction,0.024101902084080192
Advanced Manufacturing,cagr_emp_binary,classification,worthwhile,0.019088037204589025
Advanced Manufacturing,cagr_emp_binary,classification,happiness,0.01691394355523338
Advanced Manufacturing,cagr_emp_binary,classification,anxiety,0.021055061333259375
Advanced Manufacturing,cagr_emp_binary,classification,net_additions,0.014752509040893766
Advanced Manufacturing,cagr_emp_binary,classification,related_variety,0.02418937517096488
Advanced Manufacturing,cagr_emp_binary,classification,size_large_share,0.0013339665061896158
Advanced Manufacturing,cagr_emp_binary,classification,size_micro_share,0.040441528008723415
Advanced Manufacturing,cagr_emp_binary,classification,public_transport_to_employer,0.039201994416051364
Advanced Manufacturing,cagr_emp_binary,classification,drive_to_employer,0.04011931198001962
Advanced Manufacturing,cagr_emp_binary,classification,cycle_to_employer,0.039410382755793866
Advanced Manufacturing,cagr_bus_binary,classification,new_enterprises,0.010271222551497953
Advanced Manufacturing,cagr_bus_binary,classification,deaths_of_enterprises,0.028256343603012414
