variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
gcse_age19,-0.0004861174075528064,0.0003912789412307644,-1.242380706775909,0.21409613056972732,-0.001253010040274069,0.0002807752251684563,,Digital and Technologies,gd_emp,279,0.225
apprenticeship_achievements,-1.8033477410453125e-05,1.1587813907515623e-05,-1.55624499619872,0.11964984535927484,-4.07451753287361e-05,4.678220507829849e-06,,Digital and Technologies,gd_emp,279,0.225
unemployment_rate,-0.002403834969672079,0.002309468065786479,-1.0408608827649946,0.29794011872856896,-0.006930309202058957,0.0021226392627148,,Digital and Technologies,gd_emp,279,0.225
housing_net_additions,0.0010379988768101916,0.0003065662112238432,3.385888068572187,0.0007094831588008475,0.00043714014393456005,0.0016388576096858232,***,Digital and Technologies,gd_emp,279,0.225
size_large_share,1.828655019867601,0.6024673366409877,3.0352766177551342,0.002403151680658409,0.6478407381894966,3.0094693015457055,***,Digital and Technologies,gd_emp,279,0.225
size_micro_share,-0.14669260851241697,0.059852757821295614,-2.450891384995191,0.014250294624196429,-0.2640018582175544,-0.029383358807279533,**,Digital and Technologies,gd_emp,279,0.225
related_variety,-0.04554835845224026,0.03432351915121344,-1.3270305486909837,0.184498577510133,-0.11282121981128942,0.02172450290680889,,Digital and Technologies,gd_emp,279,0.225
within_sector_diversity,0.019945014534965878,0.013364471263618744,1.492390842970416,0.13559671418060534,-0.006248867814147366,0.04613889688407912,,Digital and Technologies,gd_emp,279,0.225
n_universities_feecap_lad,0.001078260949932361,0.0007145234533601222,1.509063061347706,0.13128266813693457,-0.00032217928476266366,0.0024787011846273857,,Digital and Technologies,gd_emp,279,0.225
broadband,-0.00015153868863017976,9.103988969992093e-05,-1.6645306703431932,0.09600642716299074,-0.00032997359359852386,2.689621633816431e-05,*,Digital and Technologies,gd_bus,295,0.185
apprenticeship_starts,-8.851713098875519e-06,3.581575763294633e-06,-2.471457728073571,0.013456345913350974,-1.5871472602834554e-05,-1.831953594916485e-06,**,Digital and Technologies,gd_bus,295,0.185
housing_net_additions,0.00032299408472208065,0.0001920709095676343,1.6816397936010405,0.092638709243386,-5.3457980508332214e-05,0.0006994461499524935,*,Digital and Technologies,gd_bus,295,0.185
within_sector_diversity,0.027691657609743865,0.00837104493197561,3.308028786701123,0.0009395515135208601,0.011284711030105123,0.044098604189382606,***,Digital and Technologies,gd_bus,295,0.185
n_universities_feecap_lad,0.0021217815688309594,0.00059249532083182,3.581094220038959,0.00034215822751221785,0.0009605120789920878,0.003283051058669831,***,Digital and Technologies,gd_bus,295,0.185
enterprise_birth_rate,-3.060544778594842,1.6393505538619415,-1.8669251499533681,0.06191204118330542,-6.273612822200038,0.15252326501035318,*,Financial Services,lq_emp,279,0.376
enterprise_death_rate,-0.7594349024872693,1.6848954249077852,-0.45073117966881143,0.6521833073790908,-4.061769253022839,2.542899448048301,,Financial Services,lq_emp,279,0.376
coverage_4g,0.010269792592393747,0.009524826171996872,1.0782131250423328,0.28093865595843903,-0.00839852366372463,0.028938108848512126,,Financial Services,lq_emp,279,0.376
transport_to_employer,-0.008407933796687568,0.00898756442907444,-0.9355074851522858,0.3495268276577904,-0.02602323638640676,0.009207368793031625,,Financial Services,lq_emp,279,0.376
gcse_age19,0.009414104492299073,0.005148401162417698,1.828549135024706,0.06746717853306687,-0.0006765763640037645,0.019504785348601908,*,Financial Services,lq_emp,279,0.376
apprenticeship_starts,-0.00018343634674018153,0.00011348571840392587,-1.616382654311468,0.10601160626059575,-0.0004058642675715306,3.8991574091167555e-05,,Financial Services,lq_emp,279,0.376
fe_participation,-1.0289541763841473e-05,2.8116547437799546e-05,-0.3659603579210561,0.7143946564767807,-6.539696211154051e-05,4.481787858385757e-05,,Financial Services,lq_emp,279,0.376
unemployment_rate,-0.03615446529400767,0.036347260528540176,-0.9946957423550222,0.3198842658441676,-0.1073937868666407,0.03508485627862536,,Financial Services,lq_emp,279,0.376
size_large_share,26.284237221275994,5.000081937840898,5.256761298721012,1.4661440975328352e-07,16.484256703358593,36.08421773919339,***,Financial Services,lq_emp,279,0.376
size_micro_share,-1.9175204835102007,0.5148210048190155,-3.7246352918026373,0.00019559779255382649,-2.9265511114401925,-0.9084898555802088,***,Financial Services,lq_emp,279,0.376
related_variety,1.6271843340305134,0.5627240931314568,2.8916201632233833,0.0038326099817168834,0.5242653782598949,2.730103289801132,***,Financial Services,lq_emp,279,0.376
within_sector_diversity,0.18987488369123445,0.14809206068090827,1.282140871146057,0.19979323379924474,-0.10038022163966598,0.4801299890221349,,Financial Services,lq_emp,279,0.376
n_universities_feecap_lad,0.020564335648943402,0.010905756845028352,1.8856403953585434,0.05934342998629615,-0.0008105549914633366,0.04193922628935014,*,Financial Services,lq_emp,279,0.376
