IZ22CD,IZ22NM,IZ22NM,CA,CAName
S02003735,Whitlawburn and Greenlees,Whitlawburn and Greenlees,S12000029,South Lanarkshire
S02003257,Partick,Partick,S12000049,Glasgow City
S02003730,Uddingston and Kylepark,Uddingston and Kylepark,S12000029,South Lanarkshire
S02003174,Muirend and Old Cathcart,Muirend and Old Cathcart,S12000049,Glasgow City
S02002862,Barnhill,Barnhill,S12000042,Dundee City
S02003078,Kirkcaldy Linktown and Seafield,Kirkcaldy Linktown and Seafield,S12000047,Fife
S02003301,Inverness Ballifeary and Dalneigh,Inverness Ballifeary and Dalneigh,S12000017,Highland
S02002983,Merrylee and Braidbar,Merrylee and Braidbar,S12000011,East Renfrewshire
S02002928,Lenzie North,Lenzie North,S12000045,East Dunbartonshire
S02003285,Badenoch and Strathspey North,Badenoch and Strathspey North,S12000017,Highland
S02003228,Carntyne West and Haghill,Carntyne West and Haghill,S12000049,Glasgow City
S02002932,Hillhead,Hillhead,S12000045,East Dunbartonshire
S02003187,Calton and Gallowgate,Calton and Gallowgate,S12000049,Glasgow City
S02002850,City Centre,City Centre,S12000042,Dundee City
S02003223,Springburn East and Cowlairs,Springburn East and Cowlairs,S12000049,Glasgow City
S02002957,Haddington South,Haddington South,S12000010,East Lothian
S02003308,Loch Ness,Loch Ness,S12000017,Highland
S02002770,"Craigleith, Orchard Brae and Crewe Toll","Craigleith, Orchard Brae and Crewe Toll",S12000036,City of Edinburgh
S02002772,Drylaw,Drylaw,S12000036,City of Edinburgh
S02003447,Kilbirnie South and Longbar,Kilbirnie South and Longbar,S12000021,North Ayrshire
S02003806,Bonhill,Bonhill,S12000039,West Dunbartonshire
S02002567,Aboyne and South Deeside,Aboyne and South Deeside,S12000034,Aberdeenshire
S02003799,Old Kilpatrick,Old Kilpatrick,S12000039,West Dunbartonshire
S02003479,Milnwood,Milnwood,S12000050,North Lanarkshire
S02003481,Bellshill South,Bellshill South,S12000050,North Lanarkshire
S02002588,Kintore,Kintore,S12000034,Aberdeenshire
S02003484,Fallside,Fallside,S12000050,North Lanarkshire
S02003485,Viewpark,Viewpark,S12000050,North Lanarkshire
S02003716,"Woodhead, Meikle Earnock and Fairhill","Woodhead, Meikle Earnock and Fairhill",S12000029,South Lanarkshire
S02003705,Hareleeshill,Hareleeshill,S12000029,South Lanarkshire
S02003699,"Douglas, Coalburn and Rigside","Douglas, Coalburn and Rigside",S12000029,South Lanarkshire
S02003522,Cumbernauld Central,Cumbernauld Central,S12000050,North Lanarkshire
S02003687,"Carstairs, Carstairs Junction and Carnwath","Carstairs, Carstairs Junction and Carnwath",S12000029,South Lanarkshire
S02002632,Monifieth East,Monifieth East,S12000041,Angus
S02002639,Arbroath Cliffburn,Arbroath Cliffburn,S12000041,Angus
S02003541,Kinross,Kinross,S12000048,Perth and Kinross
S02003550,Bridge of Earn and Abernethy,Bridge of Earn and Abernethy,S12000048,Perth and Kinross
S02002719,Merchiston and Greenhill,Merchiston and Greenhill,S12000036,City of Edinburgh
S02002716,Marchmont East and Sciennes,Marchmont East and Sciennes,S12000036,City of Edinburgh
S02003556,Tulloch and Inveralmond,Tulloch and Inveralmond,S12000048,Perth and Kinross
S02003611,Erskine Central,Erskine Central,S12000038,Renfrewshire
S02003810,Fauldhouse,Fauldhouse,S12000040,West Lothian
S02002695,Craiglockhart,Craiglockhart,S12000036,City of Edinburgh
S02003402,"Forres South West, Pilmuir and Mannachie","Forres South West, Pilmuir and Mannachie",S12000020,Moray
S02002520,"Braeside, Mannofield, Broomhill and Seafield East","Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City
S02003431,Saltcoats North East,Saltcoats North East,S12000021,North Ayrshire
S02003844,"Winchburgh, Bridgend and Philpstoun","Winchburgh, Bridgend and Philpstoun",S12000040,West Lothian
S02003426,Saltcoats Central,Saltcoats Central,S12000021,North Ayrshire
S02002538,Torry East,Torry East,S12000033,Aberdeen City
S02003399,"Burghead, Roseisle and Laich","Burghead, Roseisle and Laich",S12000020,Moray
S02003365,Poltonhall,Poltonhall,S12000019,Midlothian
S02002558,Bucksburn North,Bucksburn North,S12000033,Aberdeen City
S02003834,Armadale South,Armadale South,S12000040,West Lothian
S02003702,"Ashgill, Netherburn, Quarter and Glassford","Ashgill, Netherburn, Quarter and Glassford",S12000029,South Lanarkshire
S02002749,Great Junction Street,Great Junction Street,S12000036,City of Edinburgh
S02003508,Caldercruix and Plains,Caldercruix and Plains,S12000050,North Lanarkshire
S02002826,Summerville,Summerville,S12000006,Dumfries and Galloway
S02003644,Denholm Upper Teviotdale and Liddesdale,Denholm Upper Teviotdale and Liddesdale,S12000026,Scottish Borders
S02002945,Prestonpans West,Prestonpans West,S12000010,East Lothian
S02003492,Townhead,Townhead,S12000050,North Lanarkshire
S02003614,Linwood South,Linwood South,S12000038,Renfrewshire
S02003346,"Gourock East, Greenock West and Lyle Road","Gourock East, Greenock West and Lyle Road",S12000018,Inverclyde
S02003342,Gourock Central and Upper East ,Gourock Central and Upper East ,S12000018,Inverclyde
S02002940,Musselburgh South,Musselburgh South,S12000010,East Lothian
S02002838,Lockerbie,Lockerbie,S12000006,Dumfries and Galloway
S02003221,Petershill,Petershill,S12000049,Glasgow City
S02002668,Rothesay Town,Rothesay Town,S12000035,Argyll and Bute
S02002685,The Calders,The Calders,S12000036,City of Edinburgh
S02003708,Strathaven South,Strathaven South,S12000029,South Lanarkshire
S02002897,Shortlees,Shortlees,S12000008,East Ayrshire
S02003383,Keith and Fife Keith,Keith and Fife Keith,S12000020,Moray
S02002540,Hanover North,Hanover North,S12000033,Aberdeen City
S02002868,Linlathen and Midcraigie,Linlathen and Midcraigie,S12000042,Dundee City
S02003811,"Stoneyburn, Addiewell and Breich","Stoneyburn, Addiewell and Breich",S12000040,West Lothian
S02003147,Cardonald North,Cardonald North,S12000049,Glasgow City
S02003434,Kilwinning Whitehirst Park and Woodside,Kilwinning Whitehirst Park and Woodside,S12000021,North Ayrshire
S02002876,Charleston,Charleston,S12000042,Dundee City
S02002784,East Craigs South,East Craigs South,S12000036,City of Edinburgh
S02003288,Nairn West,Nairn West,S12000017,Highland
S02003797,Duntocher,Duntocher,S12000039,West Dunbartonshire
S02003794,Kilbowie,Kilbowie,S12000039,West Dunbartonshire
