IZ22CD,IZ22NM,IZ22NM,CA,CAName
S02002740,Mountcastle,Mountcastle,S12000036,City of Edinburgh
S02003460,Wishaw East,Wishaw East,S12000050,North Lanarkshire
S02002742,Craigentinny,Craigentinny,S12000036,City of Edinburgh
S02003001,Carronshore,Carronshore,S12000014,Falkirk
S02003002,Carse and Grangemouth Old Town,Carse and Grangemouth Old Town,S12000014,Falkirk
S02002807,Stranraer West,Stranraer West,S12000006,Dumfries and Galloway
S02002574,Newtonhill,Newtonhill,S12000034,Aberdeenshire
S02003076,Burntisland East,Burntisland East,S12000047,Fife
S02003007,Falkirk - Middlefield,Falkirk - Middlefield,S12000014,Falkirk
S02003403,"Findhorn, Rafford, Dallas, Dyke to Dava","Findhorn, Rafford, Dallas, Dyke to Dava",S12000020,Moray
S02003381,Rothes and North Speyside,Rothes and North Speyside,S12000020,Moray
S02002819,Dalbeattie Rural,Dalbeattie Rural,S12000006,Dumfries and Galloway
S02002990,Head of Muir and Dennyloanhead,Head of Muir and Dennyloanhead,S12000014,Falkirk
S02003128,Crail and Boarhills,Crail and Boarhills,S12000047,Fife
S02002710,Liberton West,Liberton West,S12000036,City of Edinburgh
S02003337,Kilmacolm Central,Kilmacolm Central,S12000018,Inverclyde
S02002589,Blackburn,Blackburn,S12000034,Aberdeenshire
S02003011,Falkirk - Camelon West,Falkirk - Camelon West,S12000014,Falkirk
S02002918,Westerton West,Westerton West,S12000045,East Dunbartonshire
S02002568,Mearns and Laurencekirk,Mearns and Laurencekirk,S12000034,Aberdeenshire
S02003305,Inverness Kinmylies and South West,Inverness Kinmylies and South West,S12000017,Highland
S02002652,Kirriemuir Landward,Kirriemuir Landward,S12000041,Angus
S02003476,Motherwell North,Motherwell North,S12000050,North Lanarkshire
S02003035,Cairneyhill and Crombie,Cairneyhill and Crombie,S12000047,Fife
S02003042,Dunfermline Garvock Hill,Dunfermline Garvock Hill,S12000047,Fife
S02003691,Carluke North,Carluke North,S12000029,South Lanarkshire
S02002922,Torrance and Balmore,Torrance and Balmore,S12000045,East Dunbartonshire
S02003267,Knightswood West,Knightswood West,S12000049,Glasgow City
S02003220,Barmulloch,Barmulloch,S12000049,Glasgow City
S02003819,Pumpherston and Uphall Station,Pumpherston and Uphall Station,S12000040,West Lothian
S02003655,East and West Mainland,East and West Mainland,S12000027,Shetland Islands
S02003709,Strathaven North,Strathaven North,S12000029,South Lanarkshire
S02003196,Carmyle and Mount Vernon South,Carmyle and Mount Vernon South,S12000049,Glasgow City
S02002555,Kingswells,Kingswells,S12000033,Aberdeen City
S02003577,Lochwinnoch,Lochwinnoch,S12000038,Renfrewshire
S02003649,Ettrick Yarrow and Lilliesleaf Area,Ettrick Yarrow and Lilliesleaf Area,S12000026,Scottish Borders
S02003416,Irvine Broomlands,Irvine Broomlands,S12000021,North Ayrshire
S02002614,Auchnagatt,Auchnagatt,S12000034,Aberdeenshire
S02002869,Caird Park,Caird Park,S12000042,Dundee City
S02003063,Crossgates and South Knowe,Crossgates and South Knowe,S12000047,Fife
S02003363,Straiton,Straiton,S12000019,Midlothian
S02003110,Methil West,Methil West,S12000047,Fife
S02003411,Point to Sandwick,Point to Sandwick,S12000013,Na h-Eileanan Siar
S02003771,Plean and Rural SE,Plean and Rural SE,S12000030,Stirling
S02003773,Fallin,Fallin,S12000030,Stirling
S02002733,Craigmillar,Craigmillar,S12000036,City of Edinburgh
S02002787,Carrick Knowe,Carrick Knowe,S12000036,City of Edinburgh
S02003400,"Kinloss, Alves and Pluscarden Valley","Kinloss, Alves and Pluscarden Valley",S12000020,Moray
S02003081,Kirkcaldy Bennochy West,Kirkcaldy Bennochy West,S12000047,Fife
S02003053,Dunfermline Pitcorthie West,Dunfermline Pitcorthie West,S12000047,Fife
S02003082,Kirkcaldy Raith,Kirkcaldy Raith,S12000047,Fife
S02003069,Lochore and Crosshill,Lochore and Crosshill,S12000047,Fife
S02002812,Machars North,Machars North,S12000006,Dumfries and Galloway
S02002823,Mid Nithsdale,Mid Nithsdale,S12000006,Dumfries and Galloway
S02003298,Inverness Drakies,Inverness Drakies,S12000017,Highland
S02002604,Auchterless and Monquhitter,Auchterless and Monquhitter,S12000034,Aberdeenshire
S02002659,Glen Lonan,Glen Lonan,S12000035,Argyll and Bute
S02002933,Rosebank and Waterside,Rosebank and Waterside,S12000045,East Dunbartonshire
S02002993,High Bonnybridge and Greenhill,High Bonnybridge and Greenhill,S12000014,Falkirk
S02002984,Lower Whitecraigs and Giffnock South,Lower Whitecraigs and Giffnock South,S12000011,East Renfrewshire
S02003694,"Crossford, Braidwood and Yieldshields","Crossford, Braidwood and Yieldshields",S12000029,South Lanarkshire
S02003262,Victoria Park,Victoria Park,S12000049,Glasgow City
S02002836,Collin,Collin,S12000006,Dumfries and Galloway
S02003755,Stewartfield East,Stewartfield East,S12000029,South Lanarkshire
S02002980,Williamwood,Williamwood,S12000011,East Renfrewshire
S02003631,Lauderdale,Lauderdale,S12000026,Scottish Borders
S02002660,Loch Awe,Loch Awe,S12000035,Argyll and Bute
S02002970,"Crookfur East, Fruin and Greenlaw East","Crookfur East, Fruin and Greenlaw East",S12000011,East Renfrewshire
S02002516,"Cults, Bieldside and Milltimber West","Cults, Bieldside and Milltimber West",S12000033,Aberdeen City
S02003759,Mossneuk and Newlandsmuir,Mossneuk and Newlandsmuir,S12000029,South Lanarkshire
S02003118,Falkland and Freuchie,Falkland and Freuchie,S12000047,Fife
S02003696,Lanark North East,Lanark North East,S12000029,South Lanarkshire
S02003062,Dalgety Bay East,Dalgety Bay East,S12000047,Fife
S02003440,Fairlie and Rural,Fairlie and Rural,S12000021,North Ayrshire
S02003710,"Strathaven West, Chapelton, Drumclog and Sandford","Strathaven West, Chapelton, Drumclog and Sandford",S12000029,South Lanarkshire
S02003558,Muirton,Muirton,S12000048,Perth and Kinross
S02003559,North Inch,North Inch,S12000048,Perth and Kinross
S02003413,Springside and Rural,Springside and Rural,S12000021,North Ayrshire
S02002842,Annandale West,Annandale West,S12000006,Dumfries and Galloway
S02003138,Darnley North,Darnley North,S12000049,Glasgow City
S02002565,Denmore,Denmore,S12000033,Aberdeen City
S02003758,Hairmyres and Westwood West,Hairmyres and Westwood West,S12000029,South Lanarkshire
S02003782,Cornton,Cornton,S12000030,Stirling
S02003497,Calderbank and Brownsburn,Calderbank and Brownsburn,S12000050,North Lanarkshire
S02003340,West Braeside and West Gourock,West Braeside and West Gourock,S12000018,Inverclyde
S02003050,Dunfermline Duloch South,Dunfermline Duloch South,S12000047,Fife
S02003125,Elie Colinsburgh and Largoward,Elie Colinsburgh and Largoward,S12000047,Fife
S02003359,Penicuik East,Penicuik East,S12000019,Midlothian
S02003667,Belmont,Belmont,S12000028,South Ayrshire
S02003671,Craigie,Craigie,S12000028,South Ayrshire
S02003033,Blairhall Saline and Carnock,Blairhall Saline and Carnock,S12000047,Fife
S02003490,Drumpellier and Langloan,Drumpellier and Langloan,S12000050,North Lanarkshire
S02003378,North Gorebridge,North Gorebridge,S12000019,Midlothian
S02003652,Lerwick South,Lerwick South,S12000027,Shetland Islands
S02003529,Balloch East,Balloch East,S12000050,North Lanarkshire
S02003275,Drumchapel South,Drumchapel South,S12000049,Glasgow City
S02003828,Blackburn East and Seafield,Blackburn East and Seafield,S12000040,West Lothian
S02002780,Cramond,Cramond,S12000036,City of Edinburgh
S02003498,Chapelhall West,Chapelhall West,S12000050,North Lanarkshire
S02003746,"Lindsayfield West, Lindsayfield South and Auldhouse","Lindsayfield West, Lindsayfield South and Auldhouse",S12000029,South Lanarkshire
S02003103,Glenrothes Collydean,Glenrothes Collydean,S12000047,Fife
S02003388,"Fochabers, Aultmore, Clochan and Ordiquish","Fochabers, Aultmore, Clochan and Ordiquish",S12000020,Moray
S02003772,Cowie,Cowie,S12000030,Stirling
S02003096,Glenrothes South Parks,Glenrothes South Parks,S12000047,Fife
S02002625,Fraserburgh Lochpots,Fraserburgh Lochpots,S12000034,Aberdeenshire
S02002702,Gilmerton South and the Murrays,Gilmerton South and the Murrays,S12000036,City of Edinburgh
S02003017,Reddingmuirhead and Overton,Reddingmuirhead and Overton,S12000014,Falkirk
S02003425,Stevenston Ardeer,Stevenston Ardeer,S12000021,North Ayrshire
S02003104,Glenrothes Cadham and Pitcoudie,Glenrothes Cadham and Pitcoudie,S12000047,Fife
S02002808,Rhins North,Rhins North,S12000006,Dumfries and Galloway
S02003390,"Lhanbryde, Troves, Pitgavney and seaward","Lhanbryde, Troves, Pitgavney and seaward",S12000020,Moray
S02003482,Hattonrigg,Hattonrigg,S12000050,North Lanarkshire
S02003513,Stepps,Stepps,S12000050,North Lanarkshire
S02003836,Bathgate Wester Inch East,Bathgate Wester Inch East,S12000040,West Lothian
S02002635,Arbroath Landward,Arbroath Landward,S12000041,Angus
S02003389,"Heldon West, Miltonduff and Fogwatt to Inchberry","Heldon West, Miltonduff and Fogwatt to Inchberry",S12000020,Moray
S02002790,"Ratho, Ingliston and Gogar","Ratho, Ingliston and Gogar",S12000036,City of Edinburgh
S02003783,Causewayhead,Causewayhead,S12000030,Stirling
S02002944,Pinkie Braes,Pinkie Braes,S12000010,East Lothian
S02002951,Ormiston,Ormiston,S12000010,East Lothian
S02003417,Irvine Bourtreehill,Irvine Bourtreehill,S12000021,North Ayrshire
S02003060,Dalgety Bay West and Hillend,Dalgety Bay West and Hillend,S12000047,Fife
S02003057,Rosyth South,Rosyth South,S12000047,Fife
S02003015,Shieldhill,Shieldhill,S12000014,Falkirk
S02002811,Rhins South,Rhins South,S12000006,Dumfries and Galloway
S02003338,"Kilmacolm, Quarriers, Greenock Upper East/Central","Kilmacolm, Quarriers, Greenock Upper East/Central",S12000018,Inverclyde
S02002799,"Fishcross, Devon Village and Coalsnaughton","Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S02002910,West Clober and Mains Estate,West Clober and Mains Estate,S12000045,East Dunbartonshire
S02003361,Pentland,Pentland,S12000019,Midlothian
S02003294,Inverness Slackbuie,Inverness Slackbuie,S12000017,Highland
S02003462,Allanton - Newmains Rural,Allanton - Newmains Rural,S12000050,North Lanarkshire
S02002926,Woodhill East,Woodhill East,S12000045,East Dunbartonshire
S02002586,Inverurie - Harlaw,Inverurie - Harlaw,S12000034,Aberdeenshire
S02003640,Kelso South,Kelso South,S12000026,Scottish Borders
S02002824,Shawhead,Shawhead,S12000006,Dumfries and Galloway
S02003045,Dunfermline Duloch North,Dunfermline Duloch North,S12000047,Fife
S02003051,Dunfermline Masterton,Dunfermline Masterton,S12000047,Fife
S02003665,,Alloway,S12000028,South Ayrshire
S02002722,,Dalry,S12000036,City of Edinburgh
S02003235,,Finnieston and Kelvinhaugh,S12000049,Glasgow City
S02002767,,Dean Village,S12000036,City of Edinburgh
S02003191,,Barrowfield Central,S12000049,Glasgow City
S02003803,,Dumbarton East,S12000039,West Dunbartonshire
S02002866,,Fintry,S12000042,Dundee City
S02003243,,Ruchill Park,S12000049,Glasgow City
S02002965,,Neilston West and Uplawmoor,S12000011,East Renfrewshire
S02003623,,Tweeddale East,S12000026,Scottish Borders
S02002518,,"Cults, Bieldside and Milltimber Central",S12000033,Aberdeen City
S02003343,,"Braeside, Branchton, Ravenscraig ",S12000018,Inverclyde
S02003352,,Greenock Lower East,S12000018,Inverclyde
S02003184,,Polmadie and Toryglen,S12000049,Glasgow City
S02003237,,Woodlands,S12000049,Glasgow City
S02003307,,Inverness West Strathglass,S12000017,Highland
S02003605,,Renfrew South West,S12000038,Renfrewshire
S02003598,,Paisley Central East,S12000038,Renfrewshire
S02002863,,Balgillo,S12000042,Dundee City
S02002726,,Meadows,S12000036,City of Edinburgh
S02003453,,Muirhouse and Knowetop,S12000050,North Lanarkshire
S02003043,,Townhill and Kingseat,S12000047,Fife
S02002622,,"Rosehearty, Sandhaven and Tyrie",S12000034,Aberdeenshire
S02003531,,"Croy, Dullatar and Banton",S12000050,North Lanarkshire
S02002952,,Aberlady,S12000010,East Lothian
S02003569,,Blairgowrie South (Ardblair and Rosemout),S12000048,Perth and Kinross
S02003320,,Black Isle South,S12000017,Highland
S02002971,,Crookfur West and Greenlaw West,S12000011,East Renfrewshire
S02003374,,Pathhead and Rural South East Midlothian,S12000019,Midlothian
S02002658,,Benderloch Trail,S12000035,Argyll and Bute
S02003518,,Broadwood,S12000050,North Lanarkshire
S02003006,,Falkirk - Westfield,S12000014,Falkirk
S02002975,,Mearnskirk and Maidenhill,S12000011,East Renfrewshire
S02003822,,Livingston Village ,S12000040,West Lothian
S02002587,,Durno and Chapel of Garioch,S12000034,Aberdeenshire
S02003367,,Hopefield,S12000019,Midlothian
S02003194,,Braidfauld West,S12000049,Glasgow City
S02003510,,Gartcosh,S12000050,North Lanarkshire
S02003747,,Nerston,S12000029,South Lanarkshire
S02003629,,Tweedbank and Galashiels Melrose Gait,S12000026,Scottish Borders
S02003217,,Robroyston and Millerston,S12000049,Glasgow City
S02002556,,Kingswells North and Newhills,S12000033,Aberdeen City
S02003140,,Nitshill,S12000049,Glasgow City
S02002994,,Larbert - Inches ,S12000014,Falkirk
S02003682,,Barassie Bank,S12000028,South Ayrshire
S02002620,,Longside and Rattray South,S12000034,Aberdeenshire
S02003046,,Dunfermline Halbeath and Lynebank,S12000047,Fife
S02003573,,Luncarty and Bertha Park,S12000048,Perth and Kinross
S02003466,,Salsburgh,S12000050,North Lanarkshire
S02002792,,Dalmeny and Newbridge,S12000036,City of Edinburgh
S02003200,,Baillieston South,S12000049,Glasgow City
S02002630,,Barry and Panbride,S12000041,Angus
S02002949,,Tranent North Blindwells Levenhall,S12000010,East Lothian
S02002939,,Whitecraig,S12000010,East Lothian
S02003609,,Renfrew North East,S12000038,Renfrewshire
S02003835,,Bathgate South West ,S12000040,West Lothian
S02002954,,Haddington Rural,S12000010,East Lothian
S02003468,,Dalziel and Hartwood,S12000050,North Lanarkshire
S02002703,,Burdiehouse South and Broomhills,S12000036,City of Edinburgh
S02003818,,East Calder East and Wilkieston,S12000040,West Lothian
S02002732,,Greendykes,S12000036,City of Edinburgh
S02003731,,Newton,S12000029,South Lanarkshire
S02003579,,Dargavel,S12000038,Renfrewshire
