variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
worthwhile,-0.4895017290151164,0.2278125907662547,-2.1487035785364723,0.03165790484687581,-0.9360062021417377,-0.04299725588849512,**,Digital and Technologies,lq_bus,96,0.818
anxiety,0.0909284138196097,0.07945241697939752,1.1444386121467893,0.2524417827988469,-0.06479546194466812,0.24665228958388752,,Digital and Technologies,lq_bus,96,0.818
net_additions,0.018784626252750656,0.0042424963098559015,4.427729544304232,9.52302043952229e-06,0.010469486280889008,0.027099766224612305,***,Digital and Technologies,lq_bus,96,0.818
related_variety,-0.9714499492208872,0.22968777910624624,-4.229436816364206,2.3427706365583112e-05,-1.4216297239581213,-0.5212701744836531,***,Digital and Technologies,lq_bus,96,0.818
size_large_share,19.685318171736274,12.424638864577148,1.5843774926818552,0.11310784065414119,-4.666526523751564,44.03716286722411,,Digital and Technologies,lq_bus,96,0.818
size_micro_share,-0.6597719501263462,0.7840474368062019,-0.8414949391505073,0.40007071901624824,-2.196476688437446,0.8769327881847535,,Digital and Technologies,lq_bus,96,0.818
cycle_to_employer,-0.03323403949958546,0.019910601523005177,-1.669163006511183,0.09508507932632776,-0.07225810139520396,0.005790022396033032,*,Digital and Technologies,lq_bus,96,0.818
high_growth_enterprises,8.212901293402053e-05,9.31179999834774e-05,0.8819885838247522,0.37778298087445217,-0.00010037891334599651,0.00026463693921403755,,Digital and Technologies,cagr_emp,270,0.146
apprenticeship_achievements,-2.1897763047223152e-05,1.776153071249526e-05,-1.232875893507199,0.2176220705943781,-5.670972355401591e-05,1.2914197459569605e-05,,Digital and Technologies,cagr_emp,270,0.146
level_3+_qualifications,0.00011881981552801218,0.00025664140867642674,0.46297990702591607,0.6433787695634342,-0.00038418810241940953,0.0006218277334754339,,Digital and Technologies,cagr_emp,270,0.146
worthwhile,-0.006629832406470556,0.01044226117225335,-0.6349039060703646,0.5254910893813929,-0.02709628822124813,0.013836623408307016,,Digital and Technologies,cagr_emp,270,0.146
happiness,-0.006500410331020814,0.010826897888854794,-0.6003945356972781,0.548243328623936,-0.027720740257468953,0.014719919595427327,,Digital and Technologies,cagr_emp,270,0.146
net_additions,0.0014004907859768761,0.00039409886078345716,3.5536534746452726,0.0003799194484128936,0.0006280712124930354,0.002172910359460717,***,Digital and Technologies,cagr_emp,270,0.146
related_variety,0.033446498231573675,0.015574282769840074,2.147546614239182,0.03174979032538172,0.002921464917644414,0.06397153154550293,**,Digital and Technologies,cagr_emp,270,0.146
size_large_share,2.7709481753866942,1.265234547196978,2.1900667994922363,0.02851939262681996,0.2911340308847743,5.250762319888614,**,Digital and Technologies,cagr_emp,270,0.146
public_transport_to_employer,-5.2964780897918936e-05,0.0007643150713897185,-0.0692970515439602,0.9447531726249163,-0.0015509947936629275,0.0014450652318670895,,Digital and Technologies,cagr_emp,270,0.146
deaths_of_enterprises,-4.2189662633242256e-07,1.7961747973389527e-06,-0.23488617419499805,0.8142970807977211,-3.942334539055301e-06,3.098541286390455e-06,,Digital and Technologies,cagr_bus,281,0.209
high_growth_enterprises,8.065456047687004e-05,5.186722293622947e-05,1.5550198354755658,0.11994134534199474,-2.100332845624956e-05,0.00018231244940998965,,Digital and Technologies,cagr_bus,281,0.209
broadband_availability,-0.0001469245182071554,7.110531341472296e-05,-2.0662945024968193,0.03880068020153324,-0.00028628837160944514,-7.560664804865633e-06,**,Digital and Technologies,cagr_bus,281,0.209
early_years_literacy,-0.0002079810773009803,0.0003922690006578251,-0.5302001354993674,0.5959731771146881,-0.0009768141908418362,0.0005608520362398756,,Digital and Technologies,cagr_bus,281,0.209
apprenticeship_achievements,-1.2004537863528207e-05,9.867739108020813e-06,-1.216543904547551,0.22377779675882314,-3.1344951124086395e-05,7.335875397029984e-06,,Digital and Technologies,cagr_bus,281,0.209
fe_and_skills_participation,-6.745227133899833e-07,1.4470189121165152e-06,-0.466146439235806,0.6411106844847236,-3.510627666086683e-06,2.161582239306716e-06,,Digital and Technologies,cagr_bus,281,0.209
smokers,-0.0004867569529965186,0.0003100684359839094,-1.5698371601480203,0.11645300000646933,-0.0010944799202676444,0.00012096601427460712,,Digital and Technologies,cagr_bus,281,0.209
adult_obesity,-0.00016565457503661245,0.00023766957901691073,-0.6969952811033748,0.48580574698398793,-0.000631478390130554,0.00030016924005732914,,Digital and Technologies,cagr_bus,281,0.209
under_75_mortality_rate,0.0003171022652365876,0.00021236013797865214,1.4932287587252597,0.1353773165613205,-9.91159569535271e-05,0.0007333204874267023,,Digital and Technologies,cagr_bus,281,0.209
worthwhile,-0.0005185824220843102,0.004936870739214492,-0.10504273850338283,0.916341895865939,-0.010194671267274347,0.009157506423105727,,Digital and Technologies,cagr_bus,281,0.209
happiness,-0.007367747366785601,0.004256991893961807,-1.7307402857017755,0.08349809656981706,-0.015711298161429695,0.0009758034278584942,*,Digital and Technologies,cagr_bus,281,0.209
anxiety,-0.00582607814363519,0.002542435122565453,-2.2915346361941245,0.021932511002189715,-0.010809159416893156,-0.0008429968703772238,**,Digital and Technologies,cagr_bus,281,0.209
net_additions,0.0003595588781877684,0.00017314087827387595,2.076683922204753,0.037830741474131485,2.0208992519338005e-05,0.0006989087638561988,**,Digital and Technologies,cagr_bus,281,0.209
related_variety,0.02321681773027592,0.008240930211455624,2.817256927865071,0.00484357620360699,0.0070648913167148455,0.039368744143836995,***,Digital and Technologies,cagr_bus,281,0.209
size_large_share,-0.10446932618555918,0.4318340464161475,-0.24192007798496915,0.8088420921736428,-0.9508485044594062,0.7419098520882879,,Digital and Technologies,cagr_bus,281,0.209
size_micro_share,-0.051242871336690476,0.03144800475772926,-1.6294474556162757,0.10321832964742636,-0.1128798280474841,0.010394085374103149,,Digital and Technologies,cagr_bus,281,0.209
active_enterprises,6.804948618791555e-06,6.335363258492641e-06,1.0741212999379992,0.2827683192008056,-5.612135196832342e-06,1.922203243441545e-05,,Financial Services,lq_emp,283,0.394
smokers,-0.01223117696746402,0.0070314691907465785,-1.7394909421718385,0.08194844410703996,-0.026012603339730316,0.0015502494048022734,*,Financial Services,lq_emp,283,0.394
